,Doc,OP_Updated_Num,OP_Unit,OTR_Updated_Num,OTR_Unit,PCO2_Updated_Num,PCO2_Unit,WVTR_Updated_Num,WVTR_Unit,WVP_Updated_Num,WVP_Unit,thickness_Updated_Num,thickness_Unit,temperature_Updated_Num,temperature_Unit,RH_Updated_Num,RH_Unit,Base Material,Type,Secondary Material,Composition,Plasticizer
201,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,0.0056481481481481,cm3/m2s,,,,,,,4E-06,m,23.0,°C,0.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ’5.0’, ’%’]","[‘GLY’, ’0.5’, ’%’]"
202,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,,,,,,,2.51666666666667E-11,gm/m2Pas,4E-06,m,25.0,°C,60.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ‘5.0’, ’%’]","[‘PEG’, ’0.2’, ’%’]"
203,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,,,,,,,1.1E-10,gm/m2Pas,4E-06,m,25.0,°C,60.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ’5.0’, ’%’]","[‘PEG’, ’0.5’, ’%’]"
204,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,,,,,,,1.58333333333333E-11,gm/m2Pas,4E-06,m,25.0,°C,60.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ‘5.0’, ’%’]","[‘GLY’, ’0.2’, ’%’]"
205,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,,,,,,,3.58333333333333E-11,gm/m2Pas,4E-06,m,25.0,°C,60.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ’5.0’, ’%’]","[‘GLY’, ’0.5’, ’%’]"
206,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.53009259259259E-10,gm/m2Pas,,,,,,,chitosan,individual,None,,
207,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,9.07407407407407E-11,gm/m2Pas,,,,,90.0,%,chitosan,individual,None,,"[‘GLY’, ’0.4’, ’%’]"
208,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.04166666666667E-10,gm/m2Pas,,,,,90.0,%,chitosan,individual,None,,"[‘sorbitol’,’0.1’,’%’]"
209,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.88657407407407E-10,gm/m2Pas,,,,,90.0,%,chitosan,individual,None,,"[‘sorbitol’, ’0.5’, ’%’]"
210,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,2.19907407407407E-10,gm/m2Pas,,,,,90.0,%,chitosan,individual,None,,"[‘PEG’, ’0.2’, ’%’]"
211,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.14227229943983E-11,gm/m2Pas,,,23.0,℃,50.0,%,chitosan,individual,None,,"[‘GLY’, ’0.25’, ’mL/g’]"
212,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,8.6812694757427E-12,gm/m2Pas,,,23.0,℃,50.0,%,chitosan,individual,None,,"[‘GLY’, ’0.25’, ’mL/g’]"
213,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.56481481481482E-10,gm/m2Pas,,,,,90.0,%,chitosan,blend,stearic acid,"[‘FA’, ’0.5’, ’%’]",fatty acid
214,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.66898148148148E-10,gm/m2Pas,,,,,90.0,%,chitosan,blend,palmitic acid,"[‘FA’, ’0.5’, ’%’]",fatty acid
215,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,3.7037037037037E-06,cm3cm/m2Pas,,,,,,,,,,,,,chitosan,individual,None,,
216,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,7.39583333333333E-08,cm3cm/m2Pas,,,,,,,,,,,,,chitosan,blend,palmitic acid,"[‘FA’, ’0.1’, ’%’]",fatty acid
217,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,2.70833333333333E-08,cm3cm/m2Pas,,,,,,,,,23.0,℃,60.0,%,chitosan,blend,palmitic acid,,fatty acid
218,Gas permeation and mechanical properties of polypropylene nanocomposites with thermally-stable imidazolium modified clay,1.3733400462963E-05,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,0.0,%,polypropylene,individual,None,"[‘OMMT’, ‘0.0’, ‘%’]",
219,Gas permeation and mechanical properties of polypropylene nanocomposites with thermally-stable imidazolium modified clay,1.09558587962963E-05,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,0.0,%,polypropylene,nanocomposite,OMMT,"[‘OMMT’, ‘1.0’, ‘%’]",
220,Gas permeation and mechanical properties of polypropylene nanocomposites with thermally-stable imidazolium modified clay,9.41278009259263E-06,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,0.0,%,polypropylene,nanocomposite,OMMT,"[‘OMMT’, ‘2.0’, ‘%’]",
221,Gas permeation and mechanical properties of polypropylene nanocomposites with thermally-stable imidazolium modified clay,8.17831712962966E-06,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,0.0,%,polypropylene,nanocomposite,OMMT,"[‘OMMT’, ‘3.0’, ‘%’]",
222,Gas permeation and mechanical properties of polypropylene nanocomposites with thermally-stable imidazolium modified clay,7.40677777777778E-06,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,0.0,%,polypropylene,nanocomposite,OMMT,"[‘OMMT’, ‘4.0’, ‘%’]",
223,Design of biodegradable bio-based equilibrium modified atmosphere packaging (EMAP) for fresh fruits and vegetables by using micro-perforated poly-lactic acid (PLA) films,,,,,4.4E-09,gm/m2s,,,,,3E-05,m,23.0,°C,50.0,%,polylactic acid,individual,None,,
224,Design of biodegradable bio-based equilibrium modified atmosphere packaging (EMAP) for fresh fruits and vegetables by using micro-perforated poly-lactic acid (PLA) films,,,,,2.77E-14,gm/m2Pas,,,,,3E-05,m,25.0,°C,0.0,%,polylactic acid,individual,None,,
225,Design of biodegradable bio-based equilibrium modified atmosphere packaging (EMAP) for fresh fruits and vegetables by using micro-perforated poly-lactic acid (PLA) films,,,,,1.99E-14,gm/m2Pas,,,,,3E-05,m,25.0,°C,0.0,%,polylactic acid,individual,None,,
226,Design of biodegradable bio-based equilibrium modified atmosphere packaging (EMAP) for fresh fruits and vegetables by using micro-perforated poly-lactic acid (PLA) films,5.3E-09,gm/m2s,,,,,,,,,3E-05,m,23.0,°C,50.0,%,polylactic acid,individual,None,,
227,Design of biodegradable bio-based equilibrium modified atmosphere packaging (EMAP) for fresh fruits and vegetables by using micro-perforated poly-lactic acid (PLA) films,,,,,,,,,1.4E-06,gm/m2s,3E-05,m,23.0,°C,50.0,%,polylactic acid,individual,None,,
228,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,3.750916E-10,cm3cm/m2Pas,,,,,,,,,1E-04,m,20.0,°C,,,polylactic acid,individual,None,,
229,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,3.15077E-10,cm3cm/m2Pas,,,,,,,,,1E-04,m,20.0,°C,,,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ‘3.8’, ‘%’]",
230,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,2.85035E-10,cm3cm/m2Pas,,,,,,,,,1E-04,m,20.0,°C,,,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ‘7.9’, ‘%’]",
231,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,,,,,,,1.04E-11,gm/m2Pas,2.1E-04,m,20.0,°C,50.0,%,polylactic acid,individual,None,,
232,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,,,,,,,1E-11,gm/m2Pas,2.1E-04,m,20.0,°C,50.0,%,polylactic acid,nanocomposite,Ag,"[‘Ag’, ‘1.0’, ‘%’]",
233,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,,,,,,,6.6E-12,gm/m2Pas,2.1E-04,m,20.0,°C,50.0,%,polylactic acid,nanocomposite,"CNC, Ag","[[‘CNC’, ‘1.0’, ‘%’], [‘Ag’, ‘1.0’, ‘%’]]",
234,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,,,,,,,4.3E-12,gm/m2Pas,2.1E-04,m,20.0,°C,50.0,%,polylactic acid,nanocomposite,"sCNC, Ag","[[‘sCNC’, ‘1.0’, ‘%’], [‘Ag’, ‘1.0’, ‘%’]]",
235,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,,,,,,,5.5E-12,gm/m2Pas,2.1E-04,m,20.0,°C,50.0,%,polylactic acid,nanocomposite,"CNC, Ag","[[‘CNC’, ‘5.0’, ‘%’], [‘Ag’, ‘1.0’, ‘%’]]",
236,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,,,,,,,4.3E-12,gm/m2Pas,2.1E-04,m,20.0,°C,50.0,%,polylactic acid,nanocomposite,"sCNC, Ag","[[‘sCNC’, ‘5.0’, ‘%’], [‘Ag’, ‘1.0’, ‘%’]]",
237,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,3.5300926E-05,cm3cm/m2s,,,,,,,2.1E-04,m,25.0,°C,,,polylactic acid,individual,None,,
238,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,2.7662037E-05,cm3cm/m2s,,,,,,,2.1E-04,m,25.0,°C,,,polylactic acid,nanocomposite,Ag,"[‘Ag’, ‘1.0’, ‘%’]",
239,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,1.9097222E-05,cm3cm/m2s,,,,,,,2.1E-04,m,25.0,°C,,,polylactic acid,nanocomposite,"CNC, Ag","[[‘CNC’, ‘1.0’, ‘%’], [‘Ag’, ‘1.0’, ‘%’]]",
240,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,1.6435185E-05,cm3cm/m2s,,,,,,,2.1E-04,m,25.0,°C,,,polylactic acid,nanocomposite,"sCNC, Ag","[[‘sCNC’, ‘1.0’, ‘%’], [‘Ag’, ‘1.0’, ‘%’]]",
241,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,2.0601852E-05,cm3cm/m2s,,,,,,,2.1E-04,m,25.0,°C,,,polylactic acid,nanocomposite,"CNC, Ag","[[‘CNC’, ‘5.0’, ‘%’], [‘Ag’, ‘1.0’, ‘%’]]",
242,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,,,1.4583333E-05,cm3cm/m2s,,,,,,,2.1E-04,m,25.0,°C,,,polylactic acid,nanocomposite,"sCNC, Ag","[[‘sCNC’, ‘5.0’, ‘%’], [‘Ag’, ‘1.0’, ‘%’]]",
243,Mechanical properties and water vapor permeability of edible films made from fractionated soy proteins with ultrafiltration,,,,,,,,,8.3E-10,gm/m2Pas,6.77E-05,m,25.0,°C,50.0,%,SPI,individual,None,,
244,Mechanical properties and water vapor permeability of edible films made from fractionated soy proteins with ultrafiltration,,,,,,,,,8.3E-10,gm/m2Pas,6.15E-05,m,25.0,°C,50.0,%,SPI,individual,None,,
245,Mechanical properties and water vapor permeability of edible films made from fractionated soy proteins with ultrafiltration,,,,,,,,,8.5E-10,gm/m2Pas,6.86E-05,m,25.0,°C,50.0,%,SPI,individual,None,,
246,Mechanical properties and water vapor permeability of edible films made from fractionated soy proteins with ultrafiltration,,,,,,,,,8E-10,gm/m2Pas,6.59E-05,m,25.0,°C,50.0,%,SPI,individual,None,,
247,Improve the gas barrier property of PET film with montmorillonite by in situ interlayer polymerization,8.6259259E-13,cm3cm/m2Pas,,,,,,,,,2.5E-05,m,,,,,polyethylene terephthalate,nanocomposite,OMMT,"[‘OMMT’, ‘0.0’, ‘%’]",
248,Improve the gas barrier property of PET film with montmorillonite by in situ interlayer polymerization,6.3824074E-13,cm3cm/m2Pas,,,,,,,,,2.5E-05,m,,,,,polyethylene terephthalate,nanocomposite,OMMT,"[‘OMMT’, ‘1.0’, ‘%’]",
249,Improve the gas barrier property of PET film with montmorillonite by in situ interlayer polymerization,5.321037E-13,cm3cm/m2Pas,,,,,,,,,2.5E-05,m,,,,,polyethylene terephthalate,nanocomposite,OMMT,"[‘OMMT’, ‘2.0’, ‘%’]",
250,Improve the gas barrier property of PET film with montmorillonite by in situ interlayer polymerization,4.340278E-13,cm3cm/m2Pas,,,,,,,,,2.5E-05,m,,,,,polyethylene terephthalate,nanocomposite,OMMT,"[‘OMMT’, ‘3.0’, ‘%’]",
251,"Effect of lignin on water vapor barrier, mechanical, and structural properties of agar-lignin composite films",,,,,,,,,2.11E-09,gm/m2Pas,6.05E-05,m,25.0,°C,50.0,%,agar,individual,None,,
252,"Effect of lignin on water vapor barrier, mechanical, and structural properties of agar-lignin composite films",,,,,,,,,1.97E-09,gm/m2Pas,6.03E-05,m,25.0,°C,50.0,%,agar,blend,lignin,"[‘lignin’, ‘1.0’, ‘%’]",glycerol
253,"Effect of lignin on water vapor barrier, mechanical, and structural properties of agar-lignin composite films",,,,,,,,,1.89E-09,gm/m2Pas,6.11E-05,m,25.0,°C,50.0,%,agar,blend,lignin,"[‘lignin’, ‘3.0’, ‘%’]",glycerol
254,"Effect of lignin on water vapor barrier, mechanical, and structural properties of agar-lignin composite films",,,,,,,,,1.77E-09,gm/m2Pas,5.71E-05,m,25.0,°C,50.0,%,agar,blend,lignin,"[‘lignin’, ‘5.0’, ‘%’]",glycerol
255,"Effect of lignin on water vapor barrier, mechanical, and structural properties of agar-lignin composite films",,,,,,,,,1.53E-09,gm/m2Pas,5.78E-05,m,25.0,°C,50.0,%,agar,blend,lignin,"[‘lignin’, ’10.0’, ‘%’]",glycerol
256,Oxygen permeability and mechanical properties of banana films,7.87037E-12,cm3cm/m2Pas,,,,,,,,,1E-04,m,25.0,°C,0.0,%,methylcellulose,individual,None,,
257,Oxygen permeability and mechanical properties of banana films,6.828703E-10,cm3cm/m2Pas,,,,,,,,,1E-04,m,23.0,°C,50.0,%,denatured whey protein isolate,individual,None,,
258,Oxygen permeability and mechanical properties of banana films,9.027777E-10,cm3cm/m2Pas,,,,,,,,,1E-04,m,23.0,°C,50.0,%,whey protein isolate,individual,None,,
259,Water vapour permeability of poly(lactic acid) nanocomposites,,,,,,,5.2034722E-06,g/m2s,,,6E-04,m,38.0,°C,90.0,%,polylactic acid,individual,None,,
260,Water vapour permeability of poly(lactic acid) nanocomposites,,,,,,,4.58611109E-06,g/m2s,,,6E-04,m,38.0,°C,90.0,%,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ‘1.0’, ‘%’]",
261,Water vapour permeability of poly(lactic acid) nanocomposites,,,,,,,4.08634257E-06,g/m2s,,,6E-04,m,38.0,°C,90.0,%,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ‘2.0’, ‘%’]",
262,Water vapour permeability of poly(lactic acid) nanocomposites,,,,,,,3.70416665E-06,g/m2s,,,6E-04,m,38.0,°C,90.0,%,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ‘3.0’, ‘%’]",
263,Water vapour permeability of poly(lactic acid) nanocomposites,,,,,,,3.35138887E-06,g/m2s,,,6E-04,m,38.0,°C,90.0,%,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ‘4.0’, ‘%’]",
264,Water vapour permeability of poly(lactic acid) nanocomposites,,,,,,,3.14560184E-06,g/m2s,,,6E-04,m,38.0,°C,90.0,%,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ‘5.0’, ‘%’]",
265,Water vapour permeability of poly(lactic acid) nanocomposites,,,,,,,2.96921295E-06,g/m2s,,,6E-04,m,38.0,°C,90.0,%,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ‘6.0’, ‘%’]",
266,Synthesis of chain-extended organifier and properties of polyurethane clay nanocomposites,1.1072E-08,cm3cm/m2Pas,,,,,,,,,,,30.0,°C,,,polyurethane,individual,None,,
267,Synthesis of chain-extended organifier and properties of polyurethane clay nanocomposites,9.151E-09,cm3cm/m2Pas,,,,,,,,,,,30.0,°C,,,polyurethane,nanocomposite,OMMT,"[‘OMMT’, ‘1.0’, ‘%’]",
268,Synthesis of chain-extended organifier and properties of polyurethane clay nanocomposites,7.949E-09,cm3cm/m2Pas,,,,,,,,,,,30.0,°C,,,polyurethane,nanocomposite,OMMT,"[‘OMMT’, ‘3.0’, ‘%’]",
269,Synthesis of chain-extended organifier and properties of polyurethane clay nanocomposites,7.907E-09,cm3cm/m2Pas,,,,,,,,,,,30.0,°C,,,polyurethane,nanocomposite,OMMT,"[‘OMMT’, ‘5.0’, ‘%’]",
270,Synthesis of chain-extended organifier and properties of polyurethane clay nanocomposites,8.371E-09,cm3cm/m2Pas,,,,,,,,,,,30.0,°C,,,polyurethane,nanocomposite,OMMT,"[‘OMMT’, ‘1.0’, ‘%’]",
271,Synthesis of chain-extended organifier and properties of polyurethane clay nanocomposites,7.073E-09,cm3cm/m2Pas,,,,,,,,,,,30.0,°C,,,polyurethane,nanocomposite,OMMT,"[‘OMMT’, ‘3.0’, ‘%’]",
272,Synthesis of chain-extended organifier and properties of polyurethane clay nanocomposites,6.49E-09,cm3cm/m2Pas,,,,,,,,,,,30.0,°C,,,polyurethane,nanocomposite,OMMT,"[‘OMMT’, ‘5.0’, ‘%’]",
273,High permeability nano-composite membranes based on mesoporous MCM-41 nanoparticles in a polysulfone matrix,,,,,3.375E-08,cm3cm/m2Pas,,,,,,,25.0,°C,,,polysulfone,individual,None,,
274,High permeability nano-composite membranes based on mesoporous MCM-41 nanoparticles in a polysulfone matrix,,,,,4.950396E-08,cm3cm/m2Pas,,,,,,,25.0,°C,,,polysulfone,nanocomposite,silica,"[‘silica’, '10.0’, ‘%’]",
275,High permeability nano-composite membranes based on mesoporous MCM-41 nanoparticles in a polysulfone matrix,,,,,5.850468E-08,cm3cm/m2Pas,,,,,,,25.0,°C,,,polysulfone,nanocomposite,silica,"[‘silica’, '20.0’, ‘%’]",
276,High permeability nano-composite membranes based on mesoporous MCM-41 nanoparticles in a polysulfone matrix,,,,,1.1100888E-07,cm3cm/m2Pas,,,,,,,25.0,°C,,,polysulfone,nanocomposite,silica,"[‘silica’, '40.0’, ‘%’]",
277,High permeability nano-composite membranes based on mesoporous MCM-41 nanoparticles in a polysulfone matrix,7.350588E-09,cm3cm/m2Pas,,,,,,,,,,,25.0,°C,,,polysulfone,individual,None,,
278,High permeability nano-composite membranes based on mesoporous MCM-41 nanoparticles in a polysulfone matrix,1.050084E-08,cm3cm/m2Pas,,,,,,,,,,,25.0,°C,,,polysulfone,nanocomposite,silica,"[‘silica’, '10.0’, ‘%’]",
279,High permeability nano-composite membranes based on mesoporous MCM-41 nanoparticles in a polysulfone matrix,1.275103E-08,cm3cm/m2Pas,,,,,,,,,,,25.0,°C,,,polysulfone,nanocomposite,silica,"[‘silica’, '20.0’, ‘%’]",
280,High permeability nano-composite membranes based on mesoporous MCM-41 nanoparticles in a polysulfone matrix,2.550204E-08,cm3cm/m2Pas,,,,,,,,,,,25.0,°C,,,polysulfone,nanocomposite,silica,"[‘silica’, '40.0’, ‘%’]",
281,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,4.6296E-08,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,microfibrillated cellulose,individual,None,,
282,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,1.1574E-05,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,polyethylene terephthalate,individual,None,,
283,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,5.787E-05,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,polyethylene terephthalate,individual,None,,
284,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,5.787E-04,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,polypropylene,individual,None,,
285,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,1.1574E-03,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,polypropylene,individual,None,,
286,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,1.1574E-07,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,polyvinyl chloride,individual,None,,
287,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,3.4722E-06,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,polyvinyl chloride,individual,None,,
288,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,2.581002E-08,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,0.0,%,EVOH,individual,None,,
289,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,1.956006E-04,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,polylactic acid,individual,None,,
290,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,,,,,,,,,1.81712E-04,gm/m2Pas,,,23.0,°C,50.0,%,microfibrillated cellulose,individual,None,,
291,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,,,,,,,,,1.504629E-10,gm/m2Pas,,,21.0,°C,60.0,%,polyethylene terephthalate,individual,None,,
292,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,,,,,,,,,5.70601852E-06,gm/m2Pas,,,37.8,°C,90.0,%,polypropylene,individual,None,,
293,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,,,,,,,,,8.0902778E-06,gm/m2Pas,,,23.0,°C,45.0,%,polyvinyl chloride,individual,None,,
294,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,,,,,,,,,1.0995374E-06,gm/m2Pas,,,23.0,°C,95.0,%,EVOH,individual,None,,
295,The effect of pre-treatment and process conditions on the gas barrier properties of fibrillated cellulose films and coatings: A review,,,,,,,,,4.46759259E-06,gm/m2Pas,,,23.0,°C,50.0,%,polylactic acid,individual,None,,